,0
0,0.9777778
1,0.9
2,0.5090909
3,0.53999996
4,0.8666667
5,0.7777778
6,0.8000001
7,0.6727272
8,0.8666667
9,0.8888889
10,0.8
11,0.9111111
12,0.8666667
13,0.8666667
14,0.42857143
15,0.62
16,0.9111111
17,0.68
18,0.7272727
19,0.8666667
20,0.82
21,0.94
22,0.5
23,0.76363635
24,0.48333335
25,0.93333334
26,0.8666667
27,0.8
28,0.5666667
29,0.78
30,0.85999995
31,0.8000001
32,0.7777778
33,0.5454545
34,0.82222223
35,0.74
36,0.82222223
37,0.7111111
38,0.6363636
39,0.7777778
40,0.95555556
41,0.74545455
42,0.9111111
43,0.78
44,0.9777778
45,0.95555556
46,0.62
47,0.58
48,0.56
49,0.93333334
50,0.71999997
51,0.55
52,0.9777778
53,0.5666667
54,0.7
55,0.8666667
56,0.82
57,0.7111111
58,0.78
59,0.8666667
60,0.61538464
61,0.7111111
62,0.95555556
63,0.4666667
64,0.76
65,0.7777778
66,0.7
67,0.96
68,0.75555557
69,0.8888889
70,0.7111111
71,0.9
72,0.9090909
73,0.82
74,0.64444447
75,0.82222223
76,0.82222223
77,0.95555556
78,0.59999996
79,0.71999997
80,0.6333334
81,0.6909091
82,0.95555556
83,0.78
84,0.95555556
85,0.8
86,0.73333335
87,0.8
88,0.9
89,0.70000005
90,0.58181816
91,0.76
92,0.93333334
93,0.9111111
94,0.8666667
95,0.75555557
96,0.8
97,0.7166667
98,0.7111111
99,0.84444445
100,0.65999997
101,0.7111111
102,0.8
103,0.62
104,0.50769234
105,0.5833334
106,0.56
107,0.71999997
108,0.79999995
109,0.82
110,0.59999996
111,0.8
112,0.63076925
113,0.8909091
114,0.71999997
115,0.5833334
116,0.8888889
117,0.79999995
118,0.59999996
119,0.7272727
120,0.84444445
121,0.9111111
122,0.9111111
123,0.78181815
124,0.5777778
125,0.6
126,0.6666667
127,0.9777778
128,0.6181818
129,0.84
130,0.74
131,0.6888889
132,0.8888889
133,0.8
134,0.7777778
135,0.79999995
136,0.5777778
137,0.91999996
138,0.75000006
139,0.95555556
140,0.8727273
141,0.65999997
142,0.8888889
143,0.68
144,0.9
145,0.45454544
146,0.8888889
147,0.95555556
148,0.8888889
149,0.6888889
150,0.75555557
151,0.58
152,0.71999997
153,0.58181816
154,0.8666667
155,0.6888889
156,0.8363636
157,0.71999997
158,0.7111111
159,0.71999997
160,0.74
161,0.52
162,0.78
163,0.64444447
164,0.85999995
165,0.8
166,0.6181818
167,0.56
168,0.8
169,0.58181816
170,0.93333334
171,0.47272727
172,0.95555556
173,0.65000004
174,0.95555556
175,0.8181818
176,0.75555557
177,0.82
178,0.82
179,0.7166667
180,0.9111111
181,0.9777778
182,0.8
183,0.7111111
184,0.84444445
185,0.6142857
186,0.64
187,0.74
188,0.6545454
189,0.8
190,0.68
191,0.5272727
192,0.93333334
193,0.8888889
194,0.58
195,0.82222223
196,0.93333334
197,0.84444445
198,0.7090909
199,0.7111111
200,0.5454545
201,0.73333335
202,0.5777778
203,0.9111111
204,0.8666667
205,0.8
206,0.75555557
207,0.7777778
208,0.5090909
209,0.68
210,1.0
211,0.75555557
212,0.64
213,0.7111111
214,0.5777778
215,0.9777778
216,0.8
217,0.68
218,0.82
219,0.8181818
220,0.95555556
221,0.73333335
222,0.8
223,0.6545454
224,0.8
225,0.82222223
226,0.84
227,0.9777778
228,0.76363635
229,0.65999997
230,0.5833334
231,0.65999997
232,0.8888889
233,0.79999995
234,0.75555557
235,0.84444445
236,0.64
237,0.7111111
238,0.5777778
239,0.56
240,0.6888889
241,0.85999995
242,0.9111111
243,0.82222223
244,0.9111111
245,0.88
246,0.59999996
247,0.71999997
248,1.0
249,0.8666667
250,0.71999997
251,0.73333335
252,0.73333335
253,0.95555556
254,0.95555556
255,0.8666667
256,0.6333334
257,0.95555556
258,0.6666667
259,0.9111111
260,0.93333334
261,0.59999996
262,0.76
263,0.82222223
264,0.8181818
265,0.5090909
266,0.74
267,0.5272727
268,0.6
269,0.75555557
270,0.65999997
271,0.85999995
272,0.64
273,0.93333334
274,0.85
275,0.71999997
276,0.82
277,0.7
278,0.6
279,0.74545455
280,0.8181818
281,0.78
282,0.84
283,0.75555557
284,0.8888889
285,0.8
286,0.9111111
287,0.7111111
288,0.6727272
289,0.8888889
290,0.73333335
291,0.8666667
292,0.8888889
293,0.8
294,0.78
295,0.8909091
296,0.93333334
297,0.78
298,0.7777778
299,0.82
300,0.53333336
301,0.75555557
302,0.72307694
303,0.6888889
304,0.8888889
305,0.8888889
306,0.8
307,0.76
308,0.8888889
309,0.6909091
310,0.82222223
311,0.7777778
312,0.6545454
313,0.84444445
314,0.58
315,0.73333335
316,0.7777778
317,0.8888889
318,0.84
319,0.8363636
320,0.95555556
321,0.93333334
322,0.8
323,0.6181818
324,0.62
325,0.8888889
326,0.75555557
327,0.6
328,0.75555557
329,0.93333334
330,0.8888889
331,0.8666667
332,0.7
333,0.56
334,0.59999996
335,0.94
336,0.8888889
337,0.8909091
338,0.75555557
339,0.58
340,0.7777778
341,0.9777778
342,0.73333335
343,0.6363636
344,0.76363635
345,0.8666667
346,0.82222223
347,0.8
348,0.9
349,0.85999995
350,0.95555556
351,0.5272727
352,0.59999996
353,0.8888889
354,0.73333335
355,0.68
356,0.82222223
357,0.8545454
358,0.75555557
359,0.9777778
360,0.76
361,0.48333335
362,0.6
363,0.6545454
364,0.56
365,0.9
366,0.84444445
367,0.6666667
368,0.7111111
369,0.8888889
370,0.82222223
371,0.6181818
372,0.8888889
373,0.62
374,0.62
375,0.7166667
376,0.55
377,0.9111111
378,0.84444445
379,0.64
380,0.84444445
381,0.7111111
382,0.95555556
383,0.8666667
384,0.8888889
385,0.82222223
386,0.8666667
387,0.8666667
388,0.7272727
389,0.65999997
390,0.85999995
391,0.7777778
392,0.93333334
393,1.0
394,0.95555556
395,0.94545454
396,0.52
397,0.68
398,0.64
399,0.8
400,0.6545454
401,0.79999995
402,0.71999997
403,0.95555556
404,0.6545454
405,0.8888889
406,0.7111111
407,0.8666667
408,0.8888889
409,0.78
410,0.76
411,0.9777778
412,0.79999995
413,0.59999996
414,0.82222223
415,0.62222224
416,0.7777778
417,0.84444445
418,0.84444445
419,1.0
420,0.6888889
421,0.8888889
422,0.7
423,0.9111111
424,0.93333334
425,0.5272727
426,0.68
427,0.8666667
428,0.71999997
429,0.8888889
430,0.8545454
431,0.5
432,0.6181818
433,0.47272727
434,0.7777778
435,0.84
436,0.8666667
437,0.8888889
438,0.6888889
439,1.0
440,0.79999995
441,0.64
442,0.88
443,0.93333334
444,0.93333334
445,0.82
446,0.7777778
447,0.8
448,0.6666667
449,0.64
450,0.95555556
451,0.71999997
452,0.6
453,0.79999995
454,0.95555556
455,0.5
456,0.78
457,0.71999997
458,0.95555556
459,0.52
460,0.56
461,0.9111111
462,0.73333335
463,0.7777778
464,0.8888889
465,0.8888889
466,0.68
467,0.97999996
468,0.8888889
469,0.88
470,0.8888889
471,0.93333334
472,0.95555556
473,0.79999995
474,0.76
475,0.75555557
476,0.5666667
477,0.88
478,0.56363636
479,0.8666667
480,0.8888889
481,0.64
482,0.52
483,0.64
484,0.7
485,0.8888889
486,0.82222223
487,0.95555556
488,0.8666667
489,0.64
490,0.8
491,0.7
492,0.74
493,0.73333335
494,0.96
495,0.64444447
496,0.7777778
497,0.52
498,0.78
499,0.5454545
500,0.62
501,0.64
502,0.78
503,0.64444447
504,1.0
505,0.78
506,0.84444445
507,0.84
508,0.8
509,0.7777778
510,0.7777778
511,0.6181818
512,0.8
513,0.93333334
514,0.64444447
515,0.74
516,0.64444447
517,0.75555557
518,0.8666667
519,0.75555557
520,0.8888889
521,0.73333335
522,0.71999997
523,0.82222223
524,0.9111111
525,0.82222223
526,0.93333334
527,0.7111111
528,0.58
529,0.8888889
530,0.8
531,0.7
532,0.64
533,0.6181818
534,0.7777778
535,0.74
536,0.6888889
537,0.7111111
538,0.84444445
539,0.6181818
540,0.6888889
541,0.59999996
542,0.53333336
543,0.62
544,0.9111111
545,0.84444445
546,0.7111111
547,0.7111111
548,0.62222224
549,0.8
550,0.84444445
551,0.6888889
552,0.75555557
553,0.5555556
554,0.5454545
555,0.71999997
556,0.9111111
557,0.84444445
558,0.82
559,0.5
560,0.78181815
561,0.58
562,0.6888889
563,0.74545455
564,0.64
565,0.56363636
566,0.7111111
567,0.8
568,0.46153846
569,0.82222223
570,0.84444445
571,0.78181815
572,0.58
573,0.95555556
574,0.9111111
575,0.6833334
576,0.9777778
577,0.62
578,0.82222223
579,0.64444447
580,0.8
581,0.6909091
582,0.74545455
583,0.6181818
584,0.7777778
585,0.71999997
586,0.8888889
587,0.82
588,0.7
589,0.64444447
590,0.75555557
591,0.68
592,0.75555557
593,0.84444445
594,0.84444445
595,0.51428574
596,0.75555557
597,0.58
598,0.68
599,0.75555557
600,0.7777778
601,0.8888889
602,0.76
603,0.7111111
604,0.6909091
605,0.62
606,0.59999996
607,0.79999995
608,0.64615387
609,0.56
610,0.95555556
611,0.76
612,0.8888889
613,0.71999997
614,0.4888889
615,0.78
616,0.93333334
617,0.73333335
618,0.75555557
619,0.9111111
620,0.8666667
621,0.73333335
622,0.7777778
623,0.8
624,0.6545454
625,0.79999995
626,0.73333335
627,0.91999996
628,0.79999995
629,0.76
630,0.8
631,0.75555557
632,0.45000002
633,0.8166667
634,0.65999997
635,0.71999997
636,0.94
637,0.94
638,0.71999997
639,0.56363636
640,0.7
641,0.7
642,0.84444445
643,0.64
644,0.79999995
645,0.6727272
646,0.6888889
647,0.8
648,0.79999995
649,0.93333334
650,0.59999996
651,0.65999997
652,0.7
653,0.82
654,0.74545455
655,0.56
656,0.6727272
657,0.7777778
658,0.9777778
659,0.6363636
660,0.7090909
661,0.75555557
662,0.6727272
663,0.44615385
664,0.7272727
665,0.75555557
666,0.6333334
667,0.75555557
668,0.7
669,0.47692308
670,0.6727272
671,0.8666667
672,0.82222223
673,0.50769234
674,0.64
675,0.7
676,0.8
677,0.6545454
678,0.75555557
679,0.7777778
680,0.52
681,0.78
682,0.6666667
683,0.59999996
684,0.93333334
685,0.82222223
686,0.7777778
687,0.84444445
688,0.56
689,0.6666667
690,0.68
691,0.76
692,0.84
693,0.7
694,0.9111111
695,0.95555556
696,0.58181816
697,0.9777778
698,0.9777778
699,0.74
700,0.78
701,0.7272727
702,0.73333335
703,0.73333335
704,0.8666667
705,0.6888889
706,0.78181815
707,0.53999996
708,0.58181816
709,0.9777778
710,0.8888889
711,0.59999996
712,0.79999995
713,0.9777778
714,0.7
715,0.5666667
716,0.64
717,0.82222223
718,0.7
719,0.8
720,0.76363635
721,0.75555557
722,0.8
723,0.56
724,0.75555557
725,0.53999996
726,0.64
727,0.8666667
728,0.68
729,0.7777778
730,0.95555556
731,0.59999996
732,0.82
733,0.8
734,0.44
735,0.64444447
736,0.8
737,0.78
738,0.76363635
739,0.84
740,0.95555556
741,0.48
742,0.48
743,0.8666667
744,0.65999997
745,0.73333335
746,0.75555557
747,0.82222223
748,0.53333336
749,0.7
750,0.62
751,0.76
752,0.6833334
753,0.9111111
754,0.82222223
755,0.74545455
756,0.59999996
757,0.76
758,0.79999995
759,0.93333334
760,0.6833334
761,0.56
762,0.96
763,0.7777778
764,0.58181816
765,0.64444447
766,0.9111111
767,0.9111111
768,0.8666667
769,0.73333335
770,0.76
771,0.5666667
772,0.71999997
773,0.64
774,0.78
775,0.8333334
776,0.76
777,0.84444445
778,0.6545454
779,0.7166667
780,0.9
781,0.6727272
782,0.8888889
783,0.8666667
784,0.71999997
785,0.53999996
786,0.8888889
787,0.91999996
788,0.74545455
789,0.64444447
790,0.71999997
791,0.84444445
792,0.95555556
793,0.8888889
794,0.9111111
795,0.96
796,0.58
797,0.5666667
798,0.78333336
799,0.93333334
800,0.73333335
801,0.47272727
802,0.82
803,0.50769234
804,0.91999996
805,0.53999996
806,0.68
807,0.76
808,0.71999997
809,0.8727273
810,0.9111111
811,0.6545454
812,0.8
813,0.7111111
814,0.7272727
815,0.7090909
816,0.79999995
817,0.68
818,0.45999998
819,0.6666667
820,0.8888889
821,0.84444445
822,0.84444445
823,0.82222223
824,0.7166667
825,0.82
826,0.74
827,0.65999997
828,0.7111111
829,0.82
830,0.58181816
831,0.94
832,0.59999996
833,0.8
834,0.6
835,0.73333335
836,0.8666667
837,0.95555556
838,0.64444447
839,0.93333334
840,0.9111111
841,0.6181818
842,0.8666667
843,0.84444445
844,0.93333334
845,0.75555557
846,0.6666667
847,0.73333335
848,0.6888889
849,0.73333335
850,0.65999997
851,0.50769234
852,0.5714286
853,0.64444447
854,0.71999997
855,0.84444445
856,0.94
857,0.5
858,0.9111111
859,0.78
860,0.82222223
861,0.95555556
862,0.79999995
863,0.75555557
864,0.64
865,0.5454545
866,0.7076923
867,0.58181816
868,0.84
869,0.76
870,0.78
871,0.65999997
872,0.56
873,0.52
874,0.5272727
875,0.5272727
876,0.9777778
877,0.8888889
878,0.9111111
879,0.5
880,0.5
881,0.71999997
882,0.75555557
883,0.84444445
884,0.7111111
885,0.78
886,0.8666667
887,0.7090909
888,0.8666667
889,0.82222223
890,0.73333335
891,1.0
892,0.73333335
893,0.79999995
894,0.78
895,0.7111111
896,0.64444447
897,0.9111111
898,0.93333334
899,0.7111111
900,0.62222224
901,0.8888889
902,0.8666667
903,0.73333335
904,0.91999996
905,0.8666667
906,0.74
907,0.73333335
908,0.6666667
909,0.62
910,0.58
911,0.4666667
912,0.47272727
913,0.55
914,0.84444445
915,0.82222223
916,0.5272727
917,0.64
918,0.84
919,0.7
920,0.84444445
921,0.8666667
922,0.95555556
923,0.84444445
924,0.6333334
925,0.7111111
926,0.6666667
927,0.9111111
928,0.8666667
929,0.68
930,0.8666667
931,0.75555557
932,0.93333334
933,0.84444445
934,0.93333334
935,0.68
936,0.84
937,0.79999995
938,0.73333335
939,0.68
940,0.56
941,0.82222223
942,0.93333334
943,0.93333334
944,0.79999995
945,0.84444445
946,0.64444447
947,0.79999995
948,0.68
949,0.95555556
950,0.9111111
951,0.8888889
952,0.9777778
953,0.58
954,0.78
955,0.71999997
956,0.84444445
957,0.8
958,0.84
959,0.7
960,0.75555557
961,0.64444447
962,0.96
963,0.8
964,0.7
965,0.8666667
966,0.7777778
967,0.7111111
968,0.64615387
969,0.64
970,0.6545454
971,0.74
972,0.84
973,0.7777778
974,0.82222223
975,0.5166667
976,0.8888889
977,0.9111111
978,0.93333334
979,0.9111111
980,0.79999995
981,0.64444447
982,0.88
983,0.8
984,0.76
985,0.56363636
986,0.7777778
987,0.82
988,0.78
989,0.8666667
990,0.84444445
991,0.7111111
992,0.75555557
993,0.78
994,0.62
995,0.75555557
996,0.5090909
997,0.73333335
998,0.78
999,0.8888889
1000,0.6888889
1001,0.95555556
1002,0.7777778
1003,0.49090907
1004,0.62
1005,0.6181818
1006,0.8666667
1007,0.8
1008,0.56363636
1009,0.76
1010,0.84444445
1011,0.78
1012,0.79999995
1013,0.9111111
1014,0.73333335
1015,0.93333334
1016,0.8
1017,0.75555557
1018,0.68
1019,0.93333334
1020,0.93333334
1021,0.95555556
1022,0.76
1023,0.6909091
1024,0.62
1025,0.7777778
1026,0.52
1027,0.6727272
1028,0.82222223
1029,0.9111111
1030,0.9090909
1031,0.75000006
1032,0.95555556
1033,0.84444445
1034,0.68
1035,0.8
1036,0.75555557
1037,0.8888889
1038,0.7777778
1039,0.7777778
1040,0.58181816
1041,0.71999997
1042,0.82
1043,0.78
1044,0.8
1045,0.84444445
1046,0.93333334
1047,0.6666667
1048,0.8666667
1049,0.84444445
1050,0.5166667
1051,0.6888889
1052,0.82222223
1053,0.5454545
1054,0.6909091
1055,0.76363635
1056,0.8888889
1057,0.65999997
1058,0.65999997
1059,0.62
1060,0.6363636
1061,0.9111111
1062,0.56
1063,0.79999995
1064,0.6
1065,0.84
1066,0.85999995
1067,0.82222223
1068,0.85999995
1069,0.84
1070,0.84444445
1071,0.88
1072,0.85999995
1073,0.84444445
1074,0.4666667
1075,0.91999996
1076,0.8545454
1077,0.6888889
1078,0.6181818
1079,0.82222223
1080,0.7
1081,0.6909091
1082,0.8888889
1083,0.7272727
1084,0.9111111
1085,0.58
1086,0.73333335
1087,0.74
1088,0.8545454
1089,0.8
1090,1.0
1091,0.8
1092,0.9272727
1093,0.62
1094,0.5090909
1095,0.84444445
1096,0.40000004
1097,0.9
1098,0.93333334
1099,0.6363636
1100,0.75555557
1101,0.95555556
1102,0.62222224
1103,0.8
1104,0.95555556
1105,0.7777778
1106,0.79999995
1107,0.64
1108,0.75000006
1109,0.7777778
1110,0.6727272
1111,0.6888889
1112,0.6666667
1113,0.8888889
1114,0.85999995
1115,0.68
1116,0.84444445
1117,0.5272727
1118,0.82222223
1119,0.73333335
1120,0.73333335
1121,0.49090907
1122,0.6833334
1123,0.8888889
1124,0.74
1125,0.95555556
1126,0.56
1127,0.47272727
1128,0.6545454
1129,0.43636364
1130,0.8888889
1131,0.68
1132,0.7111111
1133,0.7111111
1134,0.59999996
1135,0.73333335
1136,0.82222223
1137,0.71999997
1138,0.7090909
1139,0.79999995
1140,0.65000004
1141,0.9111111
1142,0.84444445
1143,0.7272727
1144,0.82222223
1145,0.9
1146,0.5666667
1147,0.62222224
1148,0.7777778
1149,0.8
1150,0.8888889
1151,0.73333335
1152,0.95555556
1153,0.76
1154,0.62
1155,0.8666667
1156,0.84444445
1157,0.96
1158,0.9111111
1159,0.8666667
1160,0.82222223
1161,0.64
1162,0.7
1163,0.58
1164,0.6666667
1165,0.9111111
1166,0.78181815
1167,0.9111111
1168,0.8
1169,0.6666667
1170,0.74
1171,0.94
1172,0.8909091
1173,0.62
1174,0.62
1175,0.79999995
1176,0.5538462
1177,0.7111111
1178,0.93333334
1179,0.6545454
1180,0.9111111
1181,0.95555556
1182,0.82222223
1183,0.56363636
1184,0.9777778
1185,0.73333335
1186,0.6666667
1187,0.8666667
1188,0.62
1189,0.7
1190,0.71999997
1191,0.82222223
1192,0.8363636
1193,0.7
1194,0.9111111
1195,0.74
1196,0.6363636
1197,0.7090909
1198,0.8
1199,0.74545455
1200,0.9777778
1201,0.56
1202,1.0
1203,0.82222223
1204,0.8888889
1205,0.64
1206,0.94
1207,0.7777778
1208,0.75555557
1209,0.78
1210,0.6333334
1211,0.9111111
1212,0.84444445
1213,0.84444445
1214,0.62222224
1215,0.79999995
1216,0.9111111
1217,0.6181818
1218,0.7111111
1219,0.6363636
1220,0.6
1221,0.85
1222,0.8888889
1223,0.73333335
1224,0.82
1225,0.75555557
1226,0.59999996
1227,0.79999995
1228,0.93333334
1229,0.9111111
1230,0.6888889
1231,0.7272727
1232,0.6142857
1233,0.8888889
1234,0.62
1235,0.6333334
1236,0.79999995
1237,0.91999996
1238,0.7111111
1239,0.58
1240,0.58181816
1241,0.7777778
1242,0.5846154
1243,0.9777778
1244,0.64444447
1245,0.7777778
1246,0.82
1247,0.8666667
1248,0.9
1249,0.94
1250,0.74
1251,0.71999997
1252,0.91999996
1253,0.9111111
1254,0.7777778
1255,0.78
1256,0.88
1257,0.6909091
1258,0.7777778
1259,0.64285713
1260,0.84
1261,0.6888889
1262,0.7777778
1263,0.44285715
1264,0.9111111
1265,0.59999996
1266,0.8
1267,0.73333335
1268,0.73333335
1269,0.58181816
1270,0.62
1271,0.73333335
