,prog_name,inp,rasp,craft,jax
0,prog_a,(),[],[0],['rasp_to_transformer_integration_test_BOS']
1,prog_a,"('a',)",[None],"[0, 0]","['rasp_to_transformer_integration_test_BOS', 0]"
2,prog_a,"('b',)",[None],"[0, 0]","['rasp_to_transformer_integration_test_BOS', 0]"
3,prog_a,"('c',)",[None],"[0, 0]","['rasp_to_transformer_integration_test_BOS', 0]"
4,prog_a,"('a', 'a')","[None, None]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
5,prog_a,"('a', 'b')","[1.0, None]","[0, 1, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
6,prog_a,"('a', 'c')","[1.0, None]","[0, 1, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
7,prog_a,"('b', 'a')","[None, 0.0]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
8,prog_a,"('b', 'b')","[None, None]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
9,prog_a,"('b', 'c')","[1.0, None]","[0, 1, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
10,prog_a,"('c', 'a')","[None, 0.0]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
11,prog_a,"('c', 'b')","[None, 0.0]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
12,prog_a,"('c', 'c')","[None, None]","[0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0]"
13,prog_a,"('a', 'a', 'a')","[None, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
14,prog_a,"('a', 'a', 'b')","[1.0, 1.0, None]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
15,prog_a,"('a', 'a', 'c')","[1.0, 1.0, None]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
16,prog_a,"('a', 'b', 'a')","[1.0, None, 1.0]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
17,prog_a,"('a', 'b', 'b')","[1.0, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
18,prog_a,"('a', 'b', 'c')","[1.5, 2.0, None]","[0, 1, 2, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
19,prog_a,"('a', 'c', 'a')","[1.0, None, 1.0]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
20,prog_a,"('a', 'c', 'b')","[1.0, None, 2.0]","[0, 0, 0, 2]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
21,prog_a,"('a', 'c', 'c')","[1.0, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
22,prog_a,"('b', 'a', 'a')","[None, 0.0, 0.0]","[1, 1, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
23,prog_a,"('b', 'a', 'b')","[None, 1.0, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
24,prog_a,"('b', 'a', 'c')","[1.0, 1.5, None]","[0, 1, 1, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
25,prog_a,"('b', 'b', 'a')","[None, None, 0.0]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
26,prog_a,"('b', 'b', 'b')","[None, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
27,prog_a,"('b', 'b', 'c')","[1.0, 1.0, None]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
28,prog_a,"('b', 'c', 'a')","[1.0, None, 0.5]","[0, 1, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
29,prog_a,"('b', 'c', 'b')","[1.0, None, 1.0]","[1, 1, 1, 1]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
30,prog_a,"('b', 'c', 'c')","[1.0, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
31,prog_a,"('c', 'a', 'a')","[None, 0.0, 0.0]","[1, 1, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
32,prog_a,"('c', 'a', 'b')","[None, 1.0, 0.0]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
33,prog_a,"('c', 'a', 'c')","[None, 1.0, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
34,prog_a,"('c', 'b', 'a')","[None, 0.0, 0.5]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
35,prog_a,"('c', 'b', 'b')","[None, 0.0, 0.0]","[1, 1, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
36,prog_a,"('c', 'b', 'c')","[None, 1.0, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
37,prog_a,"('c', 'c', 'a')","[None, None, 0.0]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
38,prog_a,"('c', 'c', 'b')","[None, None, 0.0]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
39,prog_a,"('c', 'c', 'c')","[None, None, None]","[0, 0, 0, 0]","['rasp_to_transformer_integration_test_BOS', 0, 0, 0]"
0,prog_c,(),[],[1],['rasp_to_transformer_integration_test_BOS']
